1722841310.371899 client started (17267): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1722841310.371944 on Linux 6.9.3-76060903-generic #202405300957~1721174657~22.04~abb7c06 SMP PREEMPT_DYNAMIC Wed J
1722841310.372461 sending message 112 to peer 0x5996c9092840 (14 bytes)
1722841310.372463 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372466 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372468 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372470 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372472 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372475 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372477 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372480 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372482 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372491 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372494 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372496 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372499 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372501 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372503 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372506 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372508 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372511 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372513 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372516 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372518 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372521 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372523 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372525 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372528 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372530 sending message 112 to peer 0x5996c9092840 (8 bytes)
1722841310.372532 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372535 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372537 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372539 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372542 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372544 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372547 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372549 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372552 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372554 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372557 sending message 112 to peer 0x5996c9092840 (8 bytes)
1722841310.372559 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372561 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372564 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372566 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372568 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372571 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372573 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372575 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372578 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372580 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372583 sending message 112 to peer 0x5996c9092840 (8 bytes)
1722841310.372585 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372588 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372590 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372592 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372594 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372597 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372599 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372601 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372603 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372605 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372608 sending message 112 to peer 0x5996c9092840 (8 bytes)
1722841310.372610 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372612 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372615 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372617 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372620 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372622 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372624 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372631 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372633 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372635 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372638 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372640 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372642 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372645 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372647 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372649 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372651 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372654 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372656 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372658 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372661 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372663 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372665 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372668 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372670 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372673 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372675 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372677 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372680 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372682 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372684 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372687 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372689 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372691 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372694 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372696 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372699 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372701 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372703 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372706 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372708 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372711 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372713 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372716 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372718 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372720 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372723 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372725 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372728 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372730 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372732 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372735 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372737 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372740 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372742 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372744 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372746 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372749 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372751 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372754 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372756 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372758 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372761 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372763 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372769 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372772 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372774 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372776 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372778 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372781 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372783 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372785 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372787 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372789 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372791 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372794 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372796 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372801 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372803 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372805 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372808 sending message 112 to peer 0x5996c9092840 (6 bytes)
1722841310.372810 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372812 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372814 sending message 112 to peer 0x5996c9092840 (15 bytes)
1722841310.372816 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372818 sending message 112 to peer 0x5996c9092840 (70 bytes)
1722841310.372821 sending message 112 to peer 0x5996c9092840 (69 bytes)
1722841310.372823 sending message 112 to peer 0x5996c9092840 (34 bytes)
1722841310.372825 sending message 112 to peer 0x5996c9092840 (34 bytes)
1722841310.372827 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372830 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372832 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372834 sending message 112 to peer 0x5996c9092840 (15 bytes)
1722841310.372839 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372841 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372844 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372846 sending message 112 to peer 0x5996c9092840 (17 bytes)
1722841310.372848 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372850 sending message 112 to peer 0x5996c9092840 (5 bytes)
1722841310.372853 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372855 sending message 112 to peer 0x5996c9092840 (15 bytes)
1722841310.372858 sending message 104 to peer 0x5996c9092840 (0 bytes)
1722841310.372861 sending message 110 to peer 0x5996c9092840 (0 bytes)
1722841310.372863 sending message 107 to peer 0x5996c9092840 (4 bytes)
1722841310.372866 sending message 105 to peer 0x5996c9092840 (33 bytes)
1722841310.372868 sending message 105 to peer 0x5996c9092840 (13 bytes)
1722841310.372870 sending message 105 to peer 0x5996c9092840 (21 bytes)
1722841310.372873 sending message 105 to peer 0x5996c9092840 (8 bytes)
1722841310.372875 sending message 105 to peer 0x5996c9092840 (19 bytes)
1722841310.372880 sending message 105 to peer 0x5996c9092840 (20 bytes)
1722841310.372882 sending message 105 to peer 0x5996c9092840 (64 bytes)
1722841310.372884 sending message 105 to peer 0x5996c9092840 (28 bytes)
1722841310.372886 sending message 105 to peer 0x5996c9092840 (29 bytes)
1722841310.372888 sending message 105 to peer 0x5996c9092840 (16 bytes)
1722841310.372891 sending message 105 to peer 0x5996c9092840 (22 bytes)
1722841310.372893 sending message 105 to peer 0x5996c9092840 (54 bytes)
1722841310.372896 sending message 105 to peer 0x5996c9092840 (36 bytes)
1722841310.372898 sending message 105 to peer 0x5996c9092840 (16 bytes)
1722841310.372900 sending message 105 to peer 0x5996c9092840 (19 bytes)
1722841310.372902 sending message 105 to peer 0x5996c9092840 (23 bytes)
1722841310.372904 sending message 105 to peer 0x5996c9092840 (23 bytes)
1722841310.372911 sending message 105 to peer 0x5996c9092840 (17 bytes)
1722841310.372913 sending message 105 to peer 0x5996c9092840 (44 bytes)
1722841310.372921 sending message 105 to peer 0x5996c9092840 (13 bytes)
1722841310.372928 sending message 105 to peer 0x5996c9092840 (171 bytes)
1722841310.372933 sending message 105 to peer 0x5996c9092840 (82 bytes)
1722841310.372936 sending message 105 to peer 0x5996c9092840 (47 bytes)
1722841310.372938 sending message 105 to peer 0x5996c9092840 (31 bytes)
1722841310.372940 sending message 105 to peer 0x5996c9092840 (23 bytes)
1722841310.372942 sending message 105 to peer 0x5996c9092840 (11 bytes)
1722841310.372945 sending message 105 to peer 0x5996c9092840 (17 bytes)
1722841310.372947 sending message 105 to peer 0x5996c9092840 (30 bytes)
1722841310.372949 sending message 105 to peer 0x5996c9092840 (41 bytes)
1722841310.372951 sending message 105 to peer 0x5996c9092840 (24 bytes)
1722841310.372954 sending message 105 to peer 0x5996c9092840 (20 bytes)
1722841310.372956 sending message 105 to peer 0x5996c9092840 (33 bytes)
1722841310.372959 sending message 105 to peer 0x5996c9092840 (41 bytes)
1722841310.372961 sending message 105 to peer 0x5996c9092840 (19 bytes)
1722841310.372963 sending message 105 to peer 0x5996c9092840 (19 bytes)
1722841310.372968 sending message 105 to peer 0x5996c9092840 (15 bytes)
1722841310.372970 sending message 105 to peer 0x5996c9092840 (52 bytes)
1722841310.372973 sending message 105 to peer 0x5996c9092840 (24 bytes)
1722841310.372975 sending message 105 to peer 0x5996c9092840 (18 bytes)
1722841310.372977 sending message 105 to peer 0x5996c9092840 (31 bytes)
1722841310.372979 sending message 105 to peer 0x5996c9092840 (156 bytes)
1722841310.372982 sending message 105 to peer 0x5996c9092840 (42 bytes)
1722841310.372984 sending message 105 to peer 0x5996c9092840 (18 bytes)
1722841310.372986 sending message 105 to peer 0x5996c9092840 (18 bytes)
1722841310.372988 sending message 105 to peer 0x5996c9092840 (17 bytes)
1722841310.372991 sending message 105 to peer 0x5996c9092840 (20 bytes)
1722841310.372993 sending message 105 to peer 0x5996c9092840 (21 bytes)
1722841310.372995 sending message 105 to peer 0x5996c9092840 (29 bytes)
1722841310.372997 sending message 105 to peer 0x5996c9092840 (12 bytes)
1722841310.373000 sending message 105 to peer 0x5996c9092840 (11 bytes)
1722841310.373002 sending message 105 to peer 0x5996c9092840 (8 bytes)
1722841310.373006 sending message 105 to peer 0x5996c9092840 (32 bytes)
1722841310.373009 sending message 105 to peer 0x5996c9092840 (1519 bytes)
1722841310.373020 sending message 105 to peer 0x5996c9092840 (27 bytes)
1722841310.373023 sending message 105 to peer 0x5996c9092840 (16 bytes)
1722841310.373025 sending message 105 to peer 0x5996c9092840 (53 bytes)
1722841310.373027 sending message 105 to peer 0x5996c9092840 (62 bytes)
1722841310.373029 sending message 105 to peer 0x5996c9092840 (16 bytes)
1722841310.373031 sending message 106 to peer 0x5996c9092840 (0 bytes)
1722841310.373035 sending message 200 to peer 0x5996c9092840 (4 bytes)
1722841310.373038 client loop enter
1722841310.376576 peer 0x5996c9092840 message 207
1722841310.376583 sending message 208 to peer 0x5996c9092840 (0 bytes)
1722841329.823822 peer 0x5996c9092840 message 203
1722841329.823854 sending message 205 to peer 0x5996c9092840 (0 bytes)
1722841329.824130 peer 0x5996c9092840 message 204
1722841329.824137 client loop exit
